id_MODEL,group_MODEL,algorithm_MODEL,count_MODEL,Accuracy_MODEL
331,Correct,XGBoost,1,F1 Score: 90%
332,Correct,XGBoost,1,F1 Score: 90%
333,Correct,XGBoost,1,F1 Score: 90%
334,Correct,XGBoost,1,F1 Score: 90%
335,Correct,XGBoost,1,F1 Score: 90%
336,Correct,XGBoost,1,F1 Score: 90%
337,Correct,XGBoost,1,F1 Score: 90%
338,Correct,XGBoost,1,F1 Score: 90%
339,Correct,XGBoost,1,F1 Score: 90%
340,Correct,XGBoost,1,F1 Score: 90%
341,Correct,XGBoost,1,F1 Score: 90%
342,Correct,XGBoost,1,F1 Score: 90%
343,Correct,XGBoost,1,F1 Score: 90%
344,Correct,XGBoost,1,F1 Score: 90%
345,Correct,XGBoost,1,F1 Score: 90%
346,Correct,XGBoost,1,F1 Score: 90%
347,Correct,XGBoost,1,F1 Score: 90%
348,Correct,XGBoost,1,F1 Score: 90%
349,Correct,XGBoost,1,F1 Score: 90%
350,Correct,XGBoost,1,F1 Score: 90%
351,Correct,XGBoost,1,F1 Score: 90%
352,Correct,XGBoost,1,F1 Score: 90%
353,Correct,XGBoost,1,F1 Score: 90%
354,Correct,XGBoost,1,F1 Score: 90%
355,Correct,XGBoost,1,F1 Score: 90%
356,Correct,XGBoost,1,F1 Score: 90%
357,Correct,XGBoost,1,F1 Score: 90%
358,Correct,XGBoost,1,F1 Score: 90%
359,Correct,XGBoost,1,F1 Score: 90%
360,Correct,XGBoost,1,F1 Score: 90%
361,Correct,XGBoost,1,F1 Score: 90%
362,Correct,XGBoost,1,F1 Score: 90%
363,Correct,XGBoost,1,F1 Score: 90%
364,Correct,XGBoost,1,F1 Score: 90%
365,Correct,XGBoost,1,F1 Score: 90%
366,Correct,XGBoost,1,F1 Score: 90%
367,Correct,XGBoost,1,F1 Score: 90%
368,Correct,XGBoost,1,F1 Score: 90%
369,Correct,XGBoost,1,F1 Score: 90%
370,Correct,XGBoost,1,F1 Score: 90%
371,Correct,XGBoost,1,F1 Score: 90%
372,Correct,XGBoost,1,F1 Score: 90%
373,Correct,XGBoost,1,F1 Score: 90%
374,Correct,XGBoost,1,F1 Score: 90%
375,Correct,XGBoost,1,F1 Score: 90%
376,Correct,XGBoost,1,F1 Score: 90%
377,Correct,XGBoost,1,F1 Score: 90%
378,Correct,XGBoost,1,F1 Score: 90%
379,Correct,XGBoost,1,F1 Score: 90%
380,Correct,XGBoost,1,F1 Score: 90%
381,Correct,XGBoost,1,F1 Score: 90%
382,Correct,XGBoost,1,F1 Score: 90%
383,Correct,XGBoost,1,F1 Score: 90%
384,Correct,XGBoost,1,F1 Score: 90%
385,Correct,XGBoost,1,F1 Score: 90%
386,Correct,XGBoost,1,F1 Score: 90%
387,Correct,XGBoost,1,F1 Score: 90%
388,Correct,XGBoost,1,F1 Score: 90%
389,Correct,XGBoost,1,F1 Score: 90%
390,Correct,XGBoost,1,F1 Score: 90%
391,Wrong,XGBoost,1,F1 Score: 90%
392,Wrong,XGBoost,1,F1 Score: 90%
393,Wrong,XGBoost,1,F1 Score: 90%
394,Wrong,XGBoost,1,F1 Score: 90%
395,Wrong,XGBoost,1,F1 Score: 90%
396,Wrong,XGBoost,1,F1 Score: 90%
397,Wrong,XGBoost,1,F1 Score: 90%
398,Wrong,XGBoost,1,F1 Score: 90%
399,Wrong,XGBoost,1,F1 Score: 90%
400,Wrong,XGBoost,1,F1 Score: 90%
401,Correct,Logistic Regression,1,F1 Score: 68%
402,Correct,Logistic Regression,1,F1 Score: 68%
403,Correct,Logistic Regression,1,F1 Score: 68%
404,Correct,Logistic Regression,1,F1 Score: 68%
405,Correct,Logistic Regression,1,F1 Score: 68%
406,Correct,Logistic Regression,1,F1 Score: 68%
407,Correct,Logistic Regression,1,F1 Score: 68%
408,Correct,Logistic Regression,1,F1 Score: 68%
409,Correct,Logistic Regression,1,F1 Score: 68%
410,Correct,Logistic Regression,1,F1 Score: 68%
411,Correct,Logistic Regression,1,F1 Score: 68%
412,Correct,Logistic Regression,1,F1 Score: 68%
413,Correct,Logistic Regression,1,F1 Score: 68%
414,Correct,Logistic Regression,1,F1 Score: 68%
415,Correct,Logistic Regression,1,F1 Score: 68%
416,Correct,Logistic Regression,1,F1 Score: 68%
417,Correct,Logistic Regression,1,F1 Score: 68%
418,Correct,Logistic Regression,1,F1 Score: 68%
419,Correct,Logistic Regression,1,F1 Score: 68%
420,Correct,Logistic Regression,1,F1 Score: 68%
421,Correct,Logistic Regression,1,F1 Score: 68%
422,Correct,Logistic Regression,1,F1 Score: 68%
423,Correct,Logistic Regression,1,F1 Score: 68%
424,Correct,Logistic Regression,1,F1 Score: 68%
425,Correct,Logistic Regression,1,F1 Score: 68%
426,Correct,Logistic Regression,1,F1 Score: 68%
427,Correct,Logistic Regression,1,F1 Score: 68%
428,Correct,Logistic Regression,1,F1 Score: 68%
429,Correct,Logistic Regression,1,F1 Score: 68%
430,Correct,Logistic Regression,1,F1 Score: 68%
431,Correct,Logistic Regression,1,F1 Score: 68%
432,Correct,Logistic Regression,1,F1 Score: 68%
433,Correct,Logistic Regression,1,F1 Score: 68%
434,Correct,Logistic Regression,1,F1 Score: 68%
435,Correct,Logistic Regression,1,F1 Score: 68%
436,Correct,Logistic Regression,1,F1 Score: 68%
437,Correct,Logistic Regression,1,F1 Score: 68%
438,Correct,Logistic Regression,1,F1 Score: 68%
439,Correct,Logistic Regression,1,F1 Score: 68%
440,Correct,Logistic Regression,1,F1 Score: 68%
441,Correct,Logistic Regression,1,F1 Score: 68%
442,Correct,Logistic Regression,1,F1 Score: 68%
443,Correct,Logistic Regression,1,F1 Score: 68%
444,Correct,Logistic Regression,1,F1 Score: 68%
445,Correct,Logistic Regression,1,F1 Score: 68%
446,Correct,Logistic Regression,1,F1 Score: 68%
447,Correct,Logistic Regression,1,F1 Score: 68%
448,Correct,Logistic Regression,1,F1 Score: 68%
449,Correct,Logistic Regression,1,F1 Score: 68%
450,Correct,Logistic Regression,1,F1 Score: 68%
451,Correct,Logistic Regression,1,F1 Score: 68%
452,Correct,Logistic Regression,1,F1 Score: 68%
453,Correct,Logistic Regression,1,F1 Score: 68%
454,Correct,Logistic Regression,1,F1 Score: 68%
455,Correct,Logistic Regression,1,F1 Score: 68%
456,Correct,Logistic Regression,1,F1 Score: 68%
457,Correct,Logistic Regression,1,F1 Score: 68%
458,Correct,Logistic Regression,1,F1 Score: 68%
459,Correct,Logistic Regression,1,F1 Score: 68%
460,Correct,Logistic Regression,1,F1 Score: 68%
461,Correct,Logistic Regression,1,F1 Score: 68%
462,Correct,Logistic Regression,1,F1 Score: 68%
463,Correct,Logistic Regression,1,F1 Score: 68%
464,Correct,Logistic Regression,1,F1 Score: 68%
465,Correct,Logistic Regression,1,F1 Score: 68%
466,Correct,Logistic Regression,1,F1 Score: 68%
467,Correct,Logistic Regression,1,F1 Score: 68%
468,Correct,Logistic Regression,1,F1 Score: 68%
469,Wrong,Logistic Regression,1,F1 Score: 68%
470,Wrong,Logistic Regression,1,F1 Score: 68%
471,Wrong,Logistic Regression,1,F1 Score: 68%
472,Wrong,Logistic Regression,1,F1 Score: 68%
473,Wrong,Logistic Regression,1,F1 Score: 68%
474,Wrong,Logistic Regression,1,F1 Score: 68%
475,Wrong,Logistic Regression,1,F1 Score: 68%
